"Species","Type","Parameter","Mean","SD","Q2.5","Q50","Q97.5","Rhat","ESS"
"Otis tarda","theta","sigma.sq.t",1.21766729134467,3.51577602529742,0.0794948516597746,0.25010527131735,11.780754672012,4.1932823771316,9.13322391259903
"Otis tarda","theta","rho",0.213095398375928,0.455594539793793,-0.649428282007378,0.229081309384665,0.927092756362714,1.26415879676497,65.9911068065839
"Pterocles alchata","beta","(Intercept)",-3.80949937268775,3.24763636103244,-9.15639619198443,-3.25007207354149,2.36923351921333,7.05211368714055,7.13746300293413
"Pterocles alchata","beta","bio1",-0.377010526383671,0.920766262664554,-2.06875149427318,-0.4167212016129,1.53307133560623,1.24067829862592,98.690730072916
"Pterocles alchata","beta","bio2",0.951988899335846,0.96810809280219,-0.815938779484536,0.924429391060258,2.92071265467712,1.49937278594125,68.5415253434913
"Pterocles alchata","beta","tree_cover",-2.86245959101767,0.634746145878496,-4.16464977736818,-2.8221293709874,-1.71155541838236,1.37351852794787,141.027417230731
"Pterocles alchata","beta","grass_cover",0.418350089616442,0.378672395620208,-0.35575576400014,0.4120059435716,1.14113354576394,1.05025286334245,287.871735866283
"Pterocles alchata","beta","topo_aspect",0.00530249744932483,0.199906929192319,-0.386387517353334,0.00180991261112582,0.436856823591822,1.03853461286796,781.782420237868
"Pterocles alchata","beta","NDVI",-0.0259040354468705,0.323855955287572,-0.673024726973178,-0.0138378492789788,0.582909610250632,1.09499262546211,501.359555380033
"Pterocles alchata","beta","tmmx",1.84394865085738,0.995887277158268,-0.0754921362216523,1.83950079840174,3.76374020415298,1.20492560141963,144.182416461873
"Pterocles alchata","alpha","(Intercept)",-0.412435906565154,0.0866185756848919,-0.584709115642303,-0.412989924769563,-0.25141017432696,1.01022026857564,1500
"Pterocles alchata","alpha","duration",1.10189122831568,0.0947748033594523,0.915919247410873,1.10123357112822,1.29062860421563,1.00075209621439,1615.94002707665
"Pterocles alchata","alpha","observers",0.190763394950885,0.0847759925665906,0.0331893319536343,0.185192202130254,0.368720640046822,1.00308102641864,1376.38106426686
"Pterocles alchata","theta","sigma.sq",37.0428045118427,16.2649227979,13.4911710462992,34.9412081387751,71.0357423888638,3.29253053300233,11.0430678689496
"Pterocles alchata","theta","phi",1.26145881429266e-05,5.10730012184773e-06,6.03422859347239e-06,1.13683390752367e-05,2.49493192163176e-05,1.61048902904429,11.2216924254249
"Pterocles alchata","theta","sigma.sq.t",19.789608683294,22.2506550981073,0.109212341986321,16.2650024726461,74.1399947042418,3.44798314867259,6.70999781212154
"Pterocles alchata","theta","rho",0.620976937433275,0.432528620364657,-0.455326257265946,0.84721004640746,0.980847155654347,12.2778420728431,5.18258679666839
"Pterocles orientalis","beta","(Intercept)",-7.39429828317865,1.85667803499163,-9.96643793696716,-7.9245228215238,-3.46953828890155,5.56022136308218,11.1995315278087
