param,Estimate,SE,z,Pval,type,model,species,species_name
time,-0.243695140006479,0.0707690432496377,-3.44352740712976,0.000574178394623069,det,v1,pteori,
duration,0.423002315638334,0.082837972340683,5.10638181604297,3.28385832615348e-07,det,v1,pteori,
observers,-0.00796814280644611,0.0713151225673831,-0.111731460587722,0.911036333567142,det,v1,pteori,
pr_obs,-0.393004060475412,0.178019972060402,-2.20764027724972,0.0272693591008743,det,v1,pteori,
topo_aspect_obs,-0.131223817889905,0.08861248725399,-1.48087275232189,0.138640485111852,det,v1,pteori,
Int,-5.25139949922362,0.615503962430145,-8.53186952442994,1.44001414012596e-17,psi,v2,pteori,
bio2,0.349694011063878,0.217242268153397,1.60969600454067,0.107464237644886,psi,v2,pteori,
tree_cover,-3.79006018363444,0.641362340622886,-5.90938997128139,3.43376939340013e-09,psi,v2,pteori,
grass_cover,0.858461212769042,0.156393577773489,5.48910783288291,4.03968959367653e-08,psi,v2,pteori,
Int,-13.6307075006814,4.4978420785395,-3.03049935117052,0.00244149711613593,col,v2,pteori,
Land_Cover_Type_1_Percent_Class_7,-8.76212310027735,6.44907262992294,-1.35866404413282,0.174253070733752,col,v2,pteori,
NDVI,-0.445799313584071,0.627802724542134,-0.710094582512683,0.477645485587736,col,v2,pteori,
tmmn,-7.2707570220875,3.31129903173911,-2.19574159639363,0.0281104440574901,col,v2,pteori,
tmmx,8.54144085452658,3.32106194132128,2.57190049611913,0.010114195650458,col,v2,pteori,
Int,-0.154854405617245,0.405084025196366,-0.38227724616437,0.702255730308898,ext,v2,pteori,
Land_Cover_Type_1_Percent_Class_12,-0.795236739958355,0.28710179624469,-2.7698772712679,0.00560774183532487,ext,v2,pteori,
NDVI,2.54289868063125,0.762607288172806,3.33447990868799,0.000854590738836937,ext,v2,pteori,
pr,2.28080806862357,0.957556661006423,2.38190402876668,0.0172233854620004,ext,v2,pteori,
Int,-2.27534940245526,0.201373726947103,-11.2991373648905,1.32513251089947e-29,det,v2,pteori,
time,-0.257387602935446,0.0708927866978534,-3.63065997154884,0.000282697421300781,det,v2,pteori,
duration,0.473354768605673,0.0813130153775975,5.82138992641622,5.83602357245283e-09,det,v2,pteori,
observers,0.00229520457542549,0.0693440674004826,0.0330987878482813,0.973595809378659,det,v2,pteori,
pr_obs,-0.184190831879652,0.187275553390866,-0.983528434676277,0.325347427748848,det,v2,pteori,
topo_aspect_obs,-0.128598478717049,0.0891304951203187,-1.44281122351505,0.149073656636725,det,v2,pteori,
stepRep_obs,0.609136215404838,0.089252177774594,6.82488910178986,8.79932631351704e-12,det,v2,pteori,
Int,-6.22374578010997,0.587639502089375,-10.5910949791176,3.27735474093171e-26,psi,v1,tettet,
bio2,1.14931466866191,0.255779622177084,4.49337855330086,7.01020073167771e-06,psi,v1,tettet,
tree_cover,-3.72406410363895,0.596576463365795,-6.24239193519023,4.30929494034087e-10,psi,v1,tettet,
grass_cover,0.7722971195554,0.158657912879435,4.86768737555668,1.12911758383227e-06,psi,v1,tettet,
topo_elev,-0.105750335983659,0.164545076230495,-0.642683077526575,0.520429763767143,psi,v1,tettet,
Int,-7.29419322576721,0.593963897564844,-12.2805329678659,1.15236596289475e-34,col,v1,tettet,
Land_Cover_Type_1_Percent_Class_12,0.90154772747869,0.437257261203888,2.06182448519319,0.0392244490438376,col,v1,tettet,
Int,-1.83609570346814,0.305605587002055,-6.00805672919779,1.87760149803248e-09,ext,v1,tettet,
Land_Cover_Type_1_Percent_Class_12,-0.565396660544601,0.278486483906438,-2.03024812053197,0.0423313247292787,ext,v1,tettet,
Int,-0.621440518417084,0.104745702781049,-5.93284976774737,2.97721250949631e-09,det,v1,tettet,
effort,0.217972853533112,0.0748150863877582,2.91348796155073,0.00357415617667209,det,v1,tettet,
observers,0.0684737886791696,0.0518041995287974,1.32178065295857,0.186241202570033,det,v1,tettet,
time,-0.219033801775816,0.0724494353797689,-3.0232644412986,0.00250063623549015,det,v1,tettet,
Int,-5.27651980256073,0.603145067908915,-8.74834278402419,2.16508739677488e-18,psi,v2,tettet,
bio2,1.0517764676757,0.243383059548441,4.32148593097279,1.54981935502817e-05,psi,v2,tettet,
tree_cover,-2.91768150739011,0.573968998530527,-5.08334337718578,3.70848391226894e-07,psi,v2,tettet,
grass_cover,0.621883746672408,0.155399992306854,4.00182610977504,6.28554873532208e-05,psi,v2,tettet,
topo_elev,-0.255300924479497,0.167449879759023,-1.52464083489878,0.127348706336828,psi,v2,tettet,
Int,-7.1702802112953,0.767508391879406,-9.34228249118861,9.42793732148132e-21,col,v2,tettet,
Land_Cover_Type_1_Percent_Class_12,0.80887078669593,0.564996914997915,1.43163752796582,0.152247583698635,col,v2,tettet,
Int,-5.35479356627772,,,,ext,v2,tettet,
Land_Cover_Type_1_Percent_Class_12,-4.63918553915148,,,,ext,v2,tettet,
Int,-2.17286128982503,0.261228460695586,-8.31785818451499,8.95670892237835e-17,det,v2,tettet,
effort,0.313801351811437,0.070099820937088,4.47649291562473,7.58791848036349e-06,det,v2,tettet,
observers,0.0483014687811821,0.0501657416456098,0.962837729429025,0.335628963338216,det,v2,tettet,
time,-0.244637218537253,0.0702586182853071,-3.48195316827648,0.000497770738855686,det,v2,tettet,
stepRep_obs,0.803731672205783,0.130374760248189,6.16477967572672,7.0581345305497e-10,det,v2,tettet,
